,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
29,Hamirpur,196116.0,42361.056000000004,1961.16,174739.35599999997,55300.0,20516.3,884.8,37991.1
30,Hamirpur,256081.0,55313.49600000001,2560.81,228168.17099999997,15232.0,2619.904,91.392,14059.135999999999
31,Hamirpur,256081.0,55313.49600000001,2560.81,228168.17099999997,15232.0,5651.072000000001,243.71200000000002,10464.384
32,Hamirpur,256081.0,55313.49600000001,2560.81,228168.17099999997,55300.0,9511.6,331.8,51041.9
33,Hamirpur,256081.0,55313.49600000001,2560.81,228168.17099999997,55300.0,20516.3,884.8,37991.1
34,Hamirpur,196116.0,99038.58,2941.74,49029.0,15232.0,2619.904,91.392,14059.135999999999
35,Hamirpur,196116.0,99038.58,2941.74,49029.0,15232.0,5651.072000000001,243.71200000000002,10464.384
36,Hamirpur,196116.0,99038.58,2941.74,49029.0,55300.0,9511.6,331.8,51041.9
37,Hamirpur,196116.0,99038.58,2941.74,49029.0,55300.0,20516.3,884.8,37991.1
38,Hamirpur,256081.0,129320.905,3841.215,64020.25,15232.0,2619.904,91.392,14059.135999999999
39,Hamirpur,256081.0,129320.905,3841.215,64020.25,15232.0,5651.072000000001,243.71200000000002,10464.384
40,Hamirpur,256081.0,129320.905,3841.215,64020.25,55300.0,9511.6,331.8,51041.9
41,Hamirpur,256081.0,129320.905,3841.215,64020.25,55300.0,20516.3,884.8,37991.1
42,Una,185091.0,46828.023,2591.274,108833.50799999999,20126.0,4910.744,966.048,15013.996
43,Bilaspur,152458.0,41011.202,1981.954,104891.104,11987.0,2025.8029999999999,95.896,11207.845
44,Bilaspur,152458.0,41011.202,1981.954,104891.104,11987.0,4327.307,371.59700000000004,7875.459
45,Bilaspur,152458.0,41011.202,1981.954,104891.104,188174.0,31801.405999999995,1505.392,175942.69
46,Bilaspur,152458.0,41011.202,1981.954,104891.104,188174.0,67930.814,5833.394,123630.31800000001
47,Bilaspur,549632.0,147851.008,7145.215999999999,378146.816,11987.0,2025.8029999999999,95.896,11207.845
48,Bilaspur,549632.0,147851.008,7145.215999999999,378146.816,11987.0,4327.307,371.59700000000004,7875.459
49,Bilaspur,549632.0,147851.008,7145.215999999999,378146.816,188174.0,31801.405999999995,1505.392,175942.69
50,Bilaspur,549632.0,147851.008,7145.215999999999,378146.816,188174.0,67930.814,5833.394,123630.31800000001
51,Bilaspur,152458.0,90102.67800000001,7927.816,25308.028000000002,11987.0,2025.8029999999999,95.896,11207.845
52,Bilaspur,152458.0,90102.67800000001,7927.816,25308.028000000002,11987.0,4327.307,371.59700000000004,7875.459
53,Bilaspur,152458.0,90102.67800000001,7927.816,25308.028000000002,188174.0,31801.405999999995,1505.392,175942.69
54,Bilaspur,152458.0,90102.67800000001,7927.816,25308.028000000002,188174.0,67930.814,5833.394,123630.31800000001
55,Bilaspur,549632.0,324832.512,28580.863999999998,91238.91200000001,11987.0,2025.8029999999999,95.896,11207.845
56,Bilaspur,549632.0,324832.512,28580.863999999998,91238.91200000001,11987.0,4327.307,371.59700000000004,7875.459
57,Bilaspur,549632.0,324832.512,28580.863999999998,91238.91200000001,188174.0,31801.405999999995,1505.392,175942.69
58,Bilaspur,549632.0,324832.512,28580.863999999998,91238.91200000001,188174.0,67930.814,5833.394,123630.31800000001
59,Solan,192787.0,47232.815,3662.953,133023.03,51509.0,9632.182999999999,721.1259999999999,46255.082
60,Sirmaur,171102.0,52870.518,4790.856,97357.03799999999,21054.0,4147.638,210.54,20232.894
61,Shimla,279269.0,68141.636,6423.187,167002.862,95896.0,17357.176,1246.6480000000001,86977.672
62,Gurdaspur,420860.0,207904.84,37877.4,210850.86,185488.0,76235.568,9645.376,158777.728
63,Kapurthala,165433.0,68489.262,10091.412999999999,128045.142,95770.0,30646.4,3926.5699999999993,90119.57
64,Jalandhar,330339.0,154268.313,20481.018,251057.64,377791.0,143938.37099999998,18133.968,361923.778
65,Hoshiarpur,422673.0,173295.93,27473.745,240923.61,128592.0,44107.056,6301.008000000001,114318.288
66,Shahid Bhagat Singh Nagar,183168.0,73450.368,9891.072,122356.224,48383.0,17417.88,3144.895,41173.933
67,Fatehgarh Sahib,117559.0,45965.569,7523.776000000001,96986.175,57337.0,20239.961,2580.165,53839.44300000001
68,Ludhiana,395032.0,178159.432,28047.271999999997,345653.0,641789.0,262491.701,31447.661,621893.541
69,Moga,214295.0,96861.34,15857.83,183007.93,74144.0,25802.111999999997,4967.648,70214.368
70,Firozpur,348522.0,177397.698,37640.376000000004,232115.652,153868.0,63239.748,10924.628,139558.27599999998
71,Muktsar,149507.0,78939.696,15997.249,108093.561,74650.0,30083.95,6793.15,67035.7
72,Faridkot,99946.0,48973.54,7695.842000000001,80056.746,58917.0,23802.467999999997,4772.276999999999,54674.975999999995
73,Bathinda,218159.0,111479.24900000001,16143.766000000001,183908.03699999998,137563.0,44570.412000000004,7428.402000000001,128071.15299999999
74,Mansa,145603.0,67705.395,10483.416,91584.287,50786.0,17318.026,2996.3740000000003,43168.1
75,Patiala,299279.0,143653.92,21248.808999999997,231342.667,218090.0,70224.98000000001,9159.78,211329.21
76,Amritsar,275477.0,152063.304,21487.206000000002,167490.016,385476.0,163827.3,20815.704,360034.584
77,Tarn Taran,222717.0,124053.369,18040.077,144320.616,44457.0,19383.252,3156.447,38988.789
78,Rupnagar,148162.0,52745.672,8889.72,84304.17799999999,60537.0,16708.212000000003,3026.85,55512.429000000004
79,Sahibzada Ajit Singh Nagar,117293.0,50670.57600000001,8562.389000000001,71196.85100000001,174042.0,41247.954,6613.596,160814.80800000002
80,Sangrur,292156.0,133515.29200000002,17821.516,229634.61599999998,156788.0,53935.072,7369.036,144244.96
81,Barnala,102577.0,50980.769,6667.505,82266.754,54222.0,22231.02,3199.0980000000004,48908.244000000006
82,Chandigarh,8911.0,4179.259,249.50799999999998,7841.68,289456.0,76995.296,10130.96,253563.45599999998
83,Uttarkashi,112148.0,30279.96,3364.44,44298.46,9061.0,1440.6989999999998,72.488,8290.815
84,Chamoli,163434.0,42983.142,4085.85,76813.98,22906.0,2657.0959999999995,206.15400000000002,20042.75
85,Rudraprayag,112705.0,22315.59,2141.395,57479.55,4454.0,432.03799999999995,13.362,4079.8639999999996
86,Tehri Garhwal,227059.0,62668.28400000001,6357.651999999999,113756.55900000001,27177.0,2880.762,190.23899999999998,26062.743000000002
87,Dehradun,228245.0,60941.415,8901.555,170270.77,269393.0,54956.17199999999,6465.432,256462.13600000003
88,Garhwal,279682.0,70200.182,5034.276000000001,135086.406,36780.0,5296.32,404.58,34830.66
89,Pithoragarh,183687.0,46656.498,4224.8009999999995,88169.76,26256.0,2599.344,131.28,25337.04
90,Bageshwar,96031.0,24103.781000000003,2784.8989999999994,51376.585,3880.0,353.08,34.92,3492.0
91,Almora,260056.0,62673.49600000001,4420.952,134188.896,21082.0,3056.89,274.06600000000003,19374.358
92,Champawat,85202.0,34336.405999999995,5112.12,34421.608,12839.0,3607.759,757.5010000000001,10258.361
93,Nainital,193086.0,61208.262,9847.386,134001.684,105577.0,20904.246,3167.31,100086.996
94,Udham Singh Nagar,269406.0,123657.354,18050.202,153292.014,145253.0,52872.092000000004,5810.12,133632.76
95,Hardwar,301828.0,145782.924,15996.883999999998,151517.65600000002,186183.0,47104.299000000006,4096.026000000001,172405.458
96,Panchkula,70895.0,24955.04,3473.855,31193.8,93656.0,21259.911999999997,4401.832,82042.656
97,Ambala,175365.0,77511.33000000002,7540.695,89611.515,139891.0,39729.044,4616.403,124922.66299999999
98,Yamunanagar,214464.0,101012.54400000001,13725.696000000002,98653.44,143259.0,48564.801,5730.36,131655.021
99,Kurukshetra,203553.0,93634.38,8752.778999999999,140655.123,88268.0,26127.328,3089.38,81559.632
100,Kaithal,231091.0,112079.135,11092.368,133339.507,75696.0,27931.824,3103.5359999999996,62600.592000000004
101,Karnal,292682.0,139023.95,14341.418,200779.85199999998,135920.0,39824.56,3533.92,124502.72
102,Panipat,173502.0,82586.952,7287.084,115725.834,153804.0,59983.56,4460.316,145959.996
103,Sonipat,283858.0,142496.71600000001,13341.326000000001,159528.19600000003,133576.0,47553.056000000004,4541.584,123157.07200000001
104,Jind,278335.0,142229.185,13916.75,142785.855,89665.0,30396.435,2510.62,78546.54
105,Fatehabad,203020.0,94201.28,11572.14,148001.58000000002,55360.0,18711.679999999997,2712.64,50322.24
106,Sirsa,245476.0,102363.49200000001,14483.084,214791.5,93316.0,30794.28,3825.9559999999997,89490.04400000001
107,Hisar,302013.0,140436.045,16610.715,188758.125,154113.0,49624.386000000006,5085.728999999999,137931.135
108,Bhiwani,357047.0,163884.57299999997,18923.490999999998,175667.124,99235.0,41281.76,4366.34,86135.98
109,Rohtak,175203.0,86375.079,8234.541,102318.552,131739.0,43869.08699999999,3556.9530000000004,121331.61899999999
110,Jhajjar,211816.0,95529.016,10378.984,123912.36,78328.0,32036.152,3524.76,71826.77600000001
111,Mahendragarh,223726.0,94188.646,6935.505999999999,87253.14,44216.0,16448.352000000003,1238.0479999999998,34134.752
112,Rewari,199449.0,83170.23300000001,6581.816999999999,99325.602,69305.0,21484.55,1663.32,60849.79
113,Gurgaon,141703.0,55689.278999999995,4534.496,92957.16799999999,381988.0,104664.712,14897.532,350282.99600000004
114,Mewat,187398.0,109440.43199999999,16865.82,33356.844,36237.0,14929.644000000002,1739.376,22648.125
115,Faridabad,87700.0,37886.4,3771.1,51392.2,382981.0,149745.571,9191.544,341619.052
116,Palwal,186069.0,95081.259,11722.347,59728.149000000005,63090.0,22838.58,2271.24,52238.52
117,North West,67592.0,31497.872000000003,3041.64,43326.471999999994,959275.0,329990.6,31656.075,824017.225
118,North,4512.0,1141.536,40.608000000000004,4421.76,296559.0,110023.38900000001,10379.565,266606.541
119,North East,5326.0,1938.664,149.128,5059.7,482255.0,171682.78,9645.1,458624.505
120,East,1086.0,72.762,13.032,1065.366,461132.0,111593.944,8761.508,430697.28800000006
121,West,1809.0,873.747,32.562000000000005,1575.639,699703.0,201514.46400000004,19591.683999999997,629032.997
122,South West,41179.0,14618.545,1358.907,36113.983,606503.0,168001.33099999998,15769.078000000001,553130.736
123,South,2918.0,1205.134,134.22799999999998,2643.708,728145.0,220627.935,21116.205,640767.6
124,Ganganagar,397697.0,167430.437,9942.425,323327.66099999996,164897.0,53096.834,5441.601,154343.592
125,Hanumangarh,389059.0,143173.712,9337.416,320195.557,108694.0,34999.468,3369.514,102063.66600000001
126,Bikaner,335754.0,169891.52400000003,16451.946,99047.43,196179.0,53556.867,3335.0429999999997,181661.754
127,Churu,344897.0,135199.624,20004.025999999998,162101.59,148996.0,45294.78399999999,3277.9120000000003,130371.5
128,Jhunjhunun,500452.0,122110.28799999999,12010.848,228706.564,150357.0,38190.678,2706.4260000000004,124044.525
129,Alwar,782294.0,309006.13,28162.584,115779.51200000002,212967.0,61334.49600000001,3407.472,168882.83099999998
130,Bharatpur,,,,,129697.0,54472.74,3112.728,90139.415
131,Dhaulpur,214670.0,125367.28,14168.22,10304.16,58626.0,23333.147999999997,2051.91,36817.128
132,Karauli,305047.0,190349.328,17082.631999999998,25013.854,59308.0,24612.82,1838.5480000000002,37008.191999999995
133,Sawai Madhopur,282057.0,155695.464,12410.508,24821.016,71264.0,24799.871999999996,1852.864,51452.608
134,Dausa,361084.0,170070.564,19137.452,33580.812000000005,59610.0,15975.48,834.54,45899.7
135,Jaipur,754841.0,321562.266,31703.322,166065.02,977838.0,264994.098,11734.055999999999,886899.0660000001
136,Sikar,527560.0,165653.84,14771.68,212079.12,178274.0,47955.706,2852.384,150998.078
137,Nagaur,675712.0,313530.368,42569.856,179063.68,166489.0,53276.48,3995.736,134190.134
138,Jodhpur,584215.0,289186.425,30379.18,80037.455,307442.0,79320.03600000001,5226.513999999999,277005.24199999997
139,Jaisalmer,159117.0,89264.63700000002,5091.744000000001,26572.539,30830.0,12455.32,524.11,20501.95
140,Barmer,542825.0,322438.05,28769.725,52654.025,55980.0,16234.2,1399.5,46351.44
141,Jalor,419216.0,218411.53600000002,35214.144,47371.40800000001,48202.0,17593.73,1928.08,29837.037999999997
142,Sirohi,238535.0,121175.78,16458.915,38642.67,69639.0,18663.252,1323.141,47493.797999999995
143,Pali,512909.0,256967.409,27697.086,95913.983,139808.0,46416.25600000001,3495.2,96607.328
144,Ajmer,409335.0,204258.165,13917.39,57716.235,274919.0,76702.401,3024.1090000000004,236980.178
145,Tonk,298911.0,161710.851,5679.309,20624.859,81755.0,29677.065,2043.875,53713.035
146,Bundi,239836.0,135027.66799999998,8154.424,19906.388000000003,63452.0,21319.872000000003,1269.04,40736.184
147,Bhilwara,530015.0,294158.325,19080.54,55651.575,145865.0,43905.365,1896.245,108961.155
148,Rajsamand,304622.0,166323.61200000002,12794.124000000002,34422.286,61054.0,18865.685999999998,610.54,43592.556000000004
149,Dungarpur,322816.0,200468.736,20014.592,29376.256,31547.0,8076.032000000001,662.487,23376.326999999997
150,Banswara,390437.0,267839.782,35529.767,26940.153000000002,39407.0,9260.645,906.3609999999999,32510.775
151,Chittaurgarh,366780.0,201362.22,13204.08,35210.88,88873.0,23817.964,1599.714,64432.925
152,Kota,203454.0,94199.20199999999,5696.7119999999995,25024.842,311735.0,91338.355,5922.965,239412.48
153,Baran,249184.0,126336.288,7724.704000000001,18688.8,69804.0,24361.596,1396.08,39997.691999999995
154,Jhalawar,298624.0,178278.52800000002,12840.832,21500.928000000004,63763.0,19128.9,1339.0230000000001,42657.447
155,Udaipur,665449.0,399934.849,25287.061999999998,61886.757000000005,182769.0,40209.18,2193.228,157546.878
156,Pratapgarh,209813.0,132601.81600000002,5245.325,13008.406,24269.0,5824.56,339.76599999999996,17012.569
157,Pratapgarh,209813.0,132601.81600000002,5245.325,13008.406,24269.0,7693.272999999999,728.07,15556.428999999998
158,Pratapgarh,209813.0,132601.81600000002,5245.325,13008.406,41701.0,10008.24,583.814,29232.400999999998
159,Pratapgarh,209813.0,132601.81600000002,5245.325,13008.406,41701.0,13219.216999999999,1251.03,26730.340999999997
160,Pratapgarh,711085.0,449405.72,17777.125,44087.27,24269.0,5824.56,339.76599999999996,17012.569
161,Pratapgarh,711085.0,449405.72,17777.125,44087.27,24269.0,7693.272999999999,728.07,15556.428999999998
162,Pratapgarh,711085.0,449405.72,17777.125,44087.27,41701.0,10008.24,583.814,29232.400999999998
163,Pratapgarh,711085.0,449405.72,17777.125,44087.27,41701.0,13219.216999999999,1251.03,26730.340999999997
164,Pratapgarh,209813.0,93786.41100000002,13218.219,23708.869000000002,24269.0,5824.56,339.76599999999996,17012.569
165,Pratapgarh,209813.0,93786.41100000002,13218.219,23708.869000000002,24269.0,7693.272999999999,728.07,15556.428999999998
166,Pratapgarh,209813.0,93786.41100000002,13218.219,23708.869000000002,41701.0,10008.24,583.814,29232.400999999998
167,Pratapgarh,209813.0,93786.41100000002,13218.219,23708.869000000002,41701.0,13219.216999999999,1251.03,26730.340999999997
168,Pratapgarh,711085.0,317854.99500000005,44798.355,80352.60500000001,24269.0,5824.56,339.76599999999996,17012.569
169,Pratapgarh,711085.0,317854.99500000005,44798.355,80352.60500000001,24269.0,7693.272999999999,728.07,15556.428999999998
170,Pratapgarh,711085.0,317854.99500000005,44798.355,80352.60500000001,41701.0,10008.24,583.814,29232.400999999998
171,Pratapgarh,711085.0,317854.99500000005,44798.355,80352.60500000001,41701.0,13219.216999999999,1251.03,26730.340999999997
172,Saharanpur,605082.0,281363.13,34489.674,259580.178,284156.0,105990.188,8808.836,261423.52
173,Muzaffarnagar,673746.0,338220.492,30992.315999999995,369886.554,296104.0,118441.6,9475.328000000001,274192.304
174,Bijnor,683875.0,359718.25,37613.125,344673.0,224648.0,95924.69600000001,7188.736000000001,207574.75200000004
175,Moradabad,692398.0,439672.73,41543.88,330966.244,355518.0,164249.31600000002,11376.576000000001,332764.848
176,Rampur,396775.0,257506.97500000003,24600.05,223781.1,143217.0,69460.245,5585.463,135053.631
177,Jyotiba Phule Nagar,335888.0,203212.24,19817.392000000003,135362.86399999997,115486.0,58551.402,4619.44,106247.12
178,Meerut,381520.0,190378.48,15642.319999999998,202587.12,422303.0,151606.777,8868.363000000001,392319.487
179,Baghpat,246055.0,128686.765,7873.76,144680.34,69991.0,32545.815,2169.721,60542.215
180,Ghaziabad,355407.0,180191.34900000002,12794.652,212533.38599999997,836316.0,285183.756,15053.688,792827.568
181,Gautam Buddha Nagar,170835.0,72263.20499999999,4100.04,88321.695,338935.0,95240.735,4406.155,310125.525
182,Bulandshahr,658449.0,370706.78699999995,28313.306999999997,203460.74099999998,221628.0,95964.92399999998,6205.583999999999,188383.8
183,Aligarh,582117.0,330060.33900000004,25031.031000000003,124573.03799999999,275942.0,116999.408,7450.434,232895.048
184,Mahamaya Nagar,288150.0,158770.65,12102.3,47544.75,84883.0,39385.712,2716.2560000000003,61709.941000000006
185,Mathura,407488.0,217191.104,16299.52,79867.648,177802.0,72009.81,4089.446,144375.22400000002
186,Agra,496971.0,262897.659,21369.752999999997,82497.186,406852.0,155417.464,7730.187999999999,333618.64
187,Firozabad,349747.0,201454.272,23433.049,39871.158,185621.0,96708.541,7424.84,152394.841
188,Mainpuri,338475.0,180745.65,25385.625,45694.125,72783.0,30277.728000000003,3202.452,54878.382000000005
189,Budaun,710956.0,464965.22400000005,57587.435999999994,149300.76,156668.0,81154.02399999999,9870.084,121417.7
190,Bareilly,631613.0,397916.19,48634.20100000001,282962.624,362798.0,169063.86800000002,14511.92,334862.554
191,Pilibhit,371752.0,233088.50400000002,34201.184,131971.96,89638.0,40874.928,7529.592000000001,79598.544
192,Shahjahanpur,520289.0,319977.735,62434.68,140478.03,134714.0,66952.85800000001,11046.547999999999,115719.32600000002
193,Kheri,754938.0,483160.32,83798.118,138153.654,107672.0,49313.776,9582.808,82046.064
194,Sitapur,827583.0,512273.877,100137.54299999999,98482.37700000001,111319.0,47199.255999999994,9462.115,80149.68
195,Hardoi,786613.0,490059.899,65288.879,136870.66199999998,121064.0,56173.695999999996,7990.223999999999,89587.36
196,Unnao,596317.0,351827.03,43531.140999999996,94218.086,121039.0,53499.238000000005,6172.988999999999,86784.963
197,Lucknow,344155.0,196856.66,28564.865000000005,73993.325,717566.0,223163.026,29420.205999999995,629305.382
198,Rae Bareli,705025.0,390583.85,54991.95,94473.35,73393.0,25027.013000000003,3816.436,52182.422999999995
199,Farrukhabad,316647.0,188721.612,27231.641999999996,75678.633,94843.0,43343.251000000004,4457.621,77486.731
200,Kannauj,299785.0,174774.655,26381.08,65053.345,65985.0,28571.505,3893.115,49884.66
201,Etawah,265643.0,145306.72100000002,20720.154,52597.314000000006,85483.0,34620.615,3590.2860000000005,71292.822
202,Auraiya,255836.0,141221.472,23025.24,52190.543999999994,58438.0,22557.068000000003,2337.52,43945.376000000004
203,Kanpur Dehat,363933.0,206713.944,30570.372000000003,83704.59,41323.0,16322.585,2438.0570000000002,27397.148999999998
204,Kanpur Nagar,364869.0,214542.97199999998,25175.961,86109.084,684906.0,265058.62200000003,32875.488,583539.912
205,Jalaun,304856.0,174682.488,8840.824,86274.248,91565.0,37633.215,3204.775,69223.13999999998
206,Jhansi,309592.0,146746.60799999998,6191.84,64085.543999999994,195321.0,64260.609,3711.0989999999997,139849.836
207,Lalitpur,258013.0,136230.86399999997,6966.351000000001,30961.56,43819.0,15862.478000000001,1139.294,27562.151
208,Mahoba,198298.0,100537.08600000001,3371.066,35297.044,48525.0,23631.675,776.4,26543.175
209,Banda,378056.0,199991.62399999998,4158.616,75611.2,67569.0,23784.288000000004,1148.673,49663.215
210,Chitrakoot,207237.0,108799.425,3730.2660000000005,24453.966,23558.0,11001.586000000001,636.066,13828.546
211,Fatehpur,558807.0,320755.218,31851.999,102261.681,77733.0,31792.797,3342.519,56045.492999999995
212,Kaushambi,349856.0,193120.512,15393.664,48280.128,30764.0,13197.756,1353.616,15812.695999999998
213,Allahabad,983266.0,479833.80799999996,45230.236,153389.49599999998,265304.0,80917.72,7693.816,222855.36
214,Bara Banki,635840.0,323642.56,75664.96,83930.88,79068.0,31231.86,6957.984,53608.10399999999
215,Faizabad,510378.0,262334.292,47465.154,74004.81,79288.0,28622.968000000004,3885.112,60417.456000000006
216,Ambedkar Nagar,501559.0,232723.376,49654.34100000001,69716.701,65031.0,27313.02,6373.0380000000005,35376.864
217,Sultanpur,839737.0,418189.02599999995,72217.382,110005.54699999999,49891.0,14817.627,2195.204,36370.539000000004
218,Bahraich,698520.0,430986.84,60072.72,73344.6,61742.0,25931.64,3519.2940000000003,49084.89
219,Shrawasti,248770.0,139808.74,16916.36,25872.08,8504.0,3189.0,850.4,5357.52
220,Balrampur,410070.0,232509.69,27474.69,41827.13999999999,35768.0,14486.04,1466.4879999999998,25717.192000000003
221,Gonda,673578.0,344198.35800000007,76114.314,53212.662000000004,52794.0,17158.05,2322.936,40704.174
222,Siddharthnagar,480165.0,215113.92,31690.89,49937.16,33348.0,11805.192,1734.096,15640.212
223,Basti,513960.0,207125.88,51396.0,67328.76,31065.0,11090.205,2112.42,22397.865
224,Sant Kabir Nagar,324972.0,141037.848,33147.144,39971.556000000004,27179.0,10300.841,1739.4560000000001,13507.963
225,Mahrajganj,573046.0,294545.644,50428.04800000001,95698.68199999999,34033.0,13374.969,1973.914,19875.272
226,Gorakhpur,761958.0,356596.344,67814.262,141724.188,189170.0,59777.72,6999.29,152092.68000000002
227,Kushinagar,742324.0,414959.11600000004,63097.54,109863.952,42775.0,16553.925000000003,4020.85,26648.825
228,Deoria,597778.0,277966.77,50811.13,99828.92599999999,67928.0,22823.808000000005,4483.248,42387.072
229,Azamgarh,891024.0,430364.59199999995,80192.16,149692.032,80434.0,30082.316000000003,3860.8320000000003,51960.363999999994
230,Mau,352207.0,166241.704,35572.907,61988.432,99321.0,43800.56100000001,6753.8279999999995,63068.835
231,Ballia,564927.0,269470.179,72310.656,125413.79400000001,64454.0,23267.894,5994.222000000001,39316.94
232,Jaunpur,926088.0,426926.568,66678.33600000001,142617.55200000003,80582.0,35858.99,3545.6080000000006,57857.876
233,Ghazipur,700173.0,358488.576,72817.992,130232.17800000001,61467.0,23603.327999999998,4487.090999999999,40260.885
234,Chandauli,344937.0,169019.13,23455.716,64848.156,50822.0,18702.496,2337.812,35168.824
235,Varanasi,438935.0,208933.06,29408.645,118951.385,316129.0,113174.18199999999,11064.515,281354.81
236,Sant Ravidas Nagar (Bhadohi),293510.0,140004.27,18197.62,36982.26,45997.0,20238.68,2621.829,25574.332000000002
237,Mirzapur,465152.0,240018.432,22327.296000000002,89309.18400000001,77963.0,31730.941000000003,2728.705,53404.655
238,Sonbhadra,337048.0,188072.78399999999,6066.8640000000005,46175.575999999994,91040.0,31317.76,4278.88,64365.28
239,Etah,334246.0,189183.236,23397.22,30750.631999999998,67752.0,29404.368,2100.312,53049.816
240,Kanshiram Nagar,271234.0,166808.91,24139.826,30378.208,72490.0,36317.49,3189.56,55744.81
241,Pashchim Champaran,839514.0,531412.362,41136.186,96544.11,96620.0,50145.78,7149.88,52078.18
242,Purba Champaran,1142260.0,639665.6,63966.56,177050.3,101565.0,43571.385,5789.205,54845.1
243,Sheohar,158484.0,94456.464,5388.456,31379.832000000002,7516.0,3382.2,601.28,2773.4039999999995
244,Sitamarhi,807294.0,473881.57800000004,50052.227999999996,150963.978,49670.0,20762.059999999998,3228.55,30050.35
245,Madhubani,1047552.0,532156.416,49234.944,181226.496,41234.0,17606.918,2927.6139999999996,22884.87
246,Supaul,572287.0,355390.227,28042.063000000002,52078.117,27815.0,14408.17,2169.57,13017.42
247,Araria,659061.0,424435.28400000004,24385.257,44157.087,44213.0,21443.305,2829.632,24007.659
248,Kishanganj,401793.0,249915.246,14062.755,24911.166,43357.0,20117.648,3425.203,22502.283
249,Purnia,712847.0,464063.39699999994,36355.197,61304.842000000004,85749.0,39530.289,8317.652999999998,50677.65900000001
250,Katihar,668232.0,414303.84,33411.6,84865.464,69838.0,29541.474,4958.498,47839.03
251,Madhepura,486278.0,311217.92,30149.236,54949.414000000004,24000.0,11016.0,2087.9999999999995,12312.0
252,Saharsa,432651.0,278194.593,28554.965999999997,54081.375,38046.0,16397.826,2815.4040000000005,25719.095999999998
253,Darbhanga,907174.0,478987.872,73481.094,189599.36599999998,95539.0,38215.6,8598.51,64011.13
254,Muzaffarpur,998694.0,603211.176,83890.296,218713.98599999998,120700.0,43693.4,8207.6,93059.7
255,Gopalganj,515925.0,273956.175,41274.0,93382.425,38133.0,15100.668,2326.113,19371.564
